HOG	OG	Gene Tree Parent Clade	Colletotrichum_abscissum	Colletotrichum_acutatum	Colletotrichum_fructicola	Colletotrichum_gloeosporioides	Colletotrichum_godetiae	Colletotrichum_karsti	Colletotrichum_siamense	Colletotrichum_truncatum
N3.HOG0000000	OG0000001	n1	XP_060390852.1	XP_060369736.1						
N3.HOG0000001	OG0000001	n13	XP_060406495.1	XP_060369837.1						
N3.HOG0000002	OG0000001	n20		XP_060359269.1						
N3.HOG0000003	OG0000001	n22		XP_060370677.1						
N3.HOG0000004	OG0000001	n29	XP_060402285.1							
N3.HOG0000005	OG0000001	n36	XP_060392196.1	XP_060357666.1						
N3.HOG0000006	OG0000001	n43	XP_060403955.1							
N3.HOG0000007	OG0000001	n47	XP_060396962.1	XP_060361425.1						
N3.HOG0000008	OG0000001	n49	XP_060390810.1	XP_060366561.1						
N3.HOG0000009	OG0000001	n52		XP_060369357.1						
N3.HOG0000010	OG0000001	n57	XP_060396987.1	XP_060361400.1						
N3.HOG0000011	OG0000001	n64	XP_060400900.1	XP_060370302.1						
N3.HOG0000012	OG0000001	n71	XP_060394606.1	XP_060368338.1						
N3.HOG0000013	OG0000001	n77	XP_060400656.1	XP_060358976.1						
N3.HOG0000014	OG0000001	n81	XP_060397645.1	XP_060366673.1						
N3.HOG0000015	OG0000001	n85	XP_060395374.1	XP_060358795.1						
N3.HOG0000016	OG0000001	n89	XP_060402253.1	XP_060362522.1						
N3.HOG0000017	OG0000001	n97	XP_060397793.1	XP_060367183.1						
N3.HOG0000018	OG0000001	n103	XP_060394053.1	XP_060362019.1						
N3.HOG0000019	OG0000001	n105		XP_060367916.1						
N3.HOG0000020	OG0000001	n110	XP_060393097.1	XP_060362045.1						
N3.HOG0000021	OG0000001	n116		XP_060368647.1						
N3.HOG0000022	OG0000001	n120	XP_060391941.1	XP_060361839.1						
N3.HOG0000023	OG0000002	n1	XP_060398589.1	XP_060370560.1						
N3.HOG0000024	OG0000002	n17	XP_060397467.1	XP_060364930.1						
N3.HOG0000025	OG0000002	n24	XP_060392094.1	XP_060362536.1						
N3.HOG0000026	OG0000002	n30	XP_060401161.1	XP_060358755.1						
N3.HOG0000027	OG0000002	n51	XP_060393291.1, XP_060395824.1	XP_060360643.1						
N3.HOG0000028	OG0000002	n59	XP_060401349.1	XP_060362682.1						
N3.HOG0000029	OG0000002	n70	XP_060399255.1							
N3.HOG0000030	OG0000002	n82	XP_060397337.1	XP_060363097.1						
N3.HOG0000031	OG0000002	n93	XP_060402695.1							
N3.HOG0000032	OG0000002	n103		XP_060358945.1						
N3.HOG0000033	OG0000002	n109	XP_060397342.1	XP_060363092.1						
N3.HOG0000034	OG0000003	n1	XP_060390395.1	XP_060369339.1						
N3.HOG0000035	OG0000003	n24	XP_060399396.1	XP_060358923.1						
N3.HOG0000036	OG0000003	n33	XP_060394431.1	XP_060372014.1						
N3.HOG0000037	OG0000003	n40	XP_060403315.1	XP_060357316.1						
N3.HOG0000038	OG0000003	n47	XP_060402687.1	XP_060359761.1, XP_060359762.1						
N3.HOG0000039	OG0000003	n51	XP_060397349.1	XP_060358372.1						
N3.HOG0000040	OG0000003	n58	XP_060391922.1							
N3.HOG0000041	OG0000003	n59	XP_060395684.1, XP_060391391.1							
N3.HOG0000042	OG0000003	n62	XP_060396077.1	XP_060360249.1						
N3.HOG0000043	OG0000003	n69		XP_060357911.1						
N3.HOG0000044	OG0000003	n75	XP_060399182.1	XP_060370171.1						
N3.HOG0000045	OG0000003	n82	XP_060395986.1	XP_060358076.1						
N3.HOG0000046	OG0000003	n89	XP_060395142.1	XP_060361096.1						
N3.HOG0000047	OG0000004	n0	XP_060404534.1							
N3.HOG0000048	OG0000007	n1	XP_060397331.1	XP_060363105.1						
N3.HOG0000049	OG0000007	n9	XP_060399009.1	XP_060358704.1						
N3.HOG0000050	OG0000007	n16	XP_060403052.1	XP_060357532.1						
N3.HOG0000051	OG0000007	n25	XP_060401254.1	XP_060365201.1						
N3.HOG0000052	OG0000007	n34	XP_060405354.1	XP_060362933.1						
N3.HOG0000053	OG0000007	n40	XP_060394556.1							
N3.HOG0000054	OG0000007	n46	XP_060402270.1	XP_060362502.1						
N3.HOG0000055	OG0000007	n55	XP_060403306.1	XP_060362818.1						
N3.HOG0000056	OG0000007	n62	XP_060405375.1	XP_060362950.1						
N3.HOG0000057	OG0000007	n69	XP_060394953.1	XP_060364959.1						
N3.HOG0000058	OG0000008	n1		XP_060366838.1						
N3.HOG0000059	OG0000008	n11		XP_060371333.1						
N3.HOG0000060	OG0000008	n14		XP_060371332.1						
N3.HOG0000061	OG0000008	n18		XP_060371334.1						
N3.HOG0000062	OG0000008	n24		XP_060358444.1						
N3.HOG0000063	OG0000008	n30		XP_060357962.1						
N3.HOG0000064	OG0000008	n31		XP_060360622.1						
N3.HOG0000065	OG0000008	n32		XP_060361583.1						
N3.HOG0000066	OG0000008	n43		XP_060368819.1						
N3.HOG0000067	OG0000008	n46		XP_060368784.1						
N3.HOG0000068	OG0000008	n49		XP_060369829.1						
N3.HOG0000069	OG0000008	n54		XP_060362270.1						
N3.HOG0000070	OG0000008	n59		XP_060363147.1						
N3.HOG0000071	OG0000008	n67		XP_060365993.1						
N3.HOG0000072	OG0000009	n1	XP_060403308.1	XP_060362817.1						
N3.HOG0000073	OG0000009	n9	XP_060393780.1	XP_060372034.1						
N3.HOG0000074	OG0000009	n18	XP_060391561.1	XP_060357116.1, XP_060363670.1						
N3.HOG0000075	OG0000009	n26	XP_060398896.1	XP_060359947.1						
